"lista","poprzedni"
"[aa]","Ruch Demokratyczno-Społeczny"
"[ab]","Sojusz Lewicy Demokratycznej"
"[ac]","Wielkopolsce i Polsce"
"[ad]","Polskie Stronnictwo Ludowego Sojuszu Programowego"
"[ae]","Porozumienie Ludowe"
"[af]","Komitet Wyborczy Prawosławnych"
"[ag]","Niezależny Samorządny Związek Zawodowy Solidarność"
"[ah]","Solidarność 80"
"[ai]","Solidarność Pracy"
"[aj]","Stronnictwo Demokratyczne"
"[b]","Polska Partia Przyjaciół Piwa"
"[c]","Partia X"
"[e]","Bygdoska Lista Jedności Ludowej"
"[f]","Ludowe Porozumienie Wyborcze Piast"
"[h]","Porozumienie Obywatelskie Centrum"
"[i]","Polski Związek Zachodni"
"[j]","Sojuszu Kobiet Przeciw Trudnościom Życia"
"[m]","Porozumienie Ludowe"
"[n]","Unia Wielkopolan i Lubuszan"
"[o]","Unia Demokratyczna"
"[p]","Związek Podhalan"
"[q]","Krakowska Koalicja Solidarnych z Prezydentem"
"[r]","Partia Chrześcijańskich Demokratów"
"[s]","Wyborcza Akcja Katolicka"
"[t]","Kongres Liberalno-Demokratyczny"
"[w]","Konfederacja Polski Niepodległej"
"[x]","Ruch Autonomii Śląska"